WE1_counts	WE2_counts	M1_counts	M2_counts	M3_counts
YLR451W	2868	3277	3108	3401	2298
YFR017C	102	250	368	160	269
YLR342W-A	4101	4272	3602	2687	2822
YIL076W	6778	8449	9258	8326	7153
YNR077C	0	0	0	0	0
YOL044W	737	609	1069	1163	901
YLR323C	760	837	831	1015	606
YOR085W	8718	11255	13160	11981	9423
YGL067W	2603	3273	4426	3510	3084
YNL087W	17696	14681	14973	9002	11412
YLR318W	742	698	945	1027	760
YOR341W	39834	60207	45460	58575	34144
YNL024C-A	1641	2370	3570	3231	2921
YDR296W	1244	2139	2089	1919	1531
YGL232W	3142	2990	4253	3668	3207
YPR091C	3995	3355	5018	4838	3065
YGR141W	2177	3198	2936	2886	2030
YJR158W	0	0	0	0	0
YHR137W	292	3013	94408	143318	68989
YBR187W	23625	28268	35892	32529	26172
YMR198W	1075	1402	1571	1490	1076
YCR003W	1321	1666	2312	1831	1542
YDR342C	461	3299	21256	3735	12742
YMR163C	1102	1826	1784	1515	1293
YGR294W	0	0	2	0	0
YLL067C	0	0	0	0	0
YHR086W-A	5	11	5	4	0
YBR020W	289	528	318	274	180
YLR418C	1727	1950	3968	3844	3188
YER059W	1581	1535	2220	1815	1567
YNL076W	1531	1977	2012	1935	1393
YBL025W	377	500	617	663	459
YOL066C	2094	2835	2743	2969	2112
YDR126W	1136	1460	1576	1919	1110
YPL216W	1514	1331	1575	1583	1015
YOR223W	466	693	789	559	589
YEL022W	5204	5385	7213	7968	4801
YHR072W	15608	19950	15742	16703	11821
YOL019W	2803	5562	3789	4135	2680
YJL190C	141555	173502	186149	270056	161577
YMR218C	1646	2954	3749	3513	2508
YNL265C	827	947	1725	1323	1225
YNL230C	444	717	730	749	635
YLL049W	1487	1561	1215	1381	1266
YHR211W	28	333	7788	2205	6260
YPR166C	1552	2169	1901	1653	1486
YJL042W	3099	4848	5833	4509	4221
YNL301C	18874	40912	23149	21582	17810
YMR058W	28435	35084	14376	26567	9602
YDR061W	1004	3152	3396	2711	2416
YJR112W-A	1536	2168	1301	1195	1103
YOR290C	5527	8167	7462	8472	5019
YKL114C	2808	2756	3772	3480	2616
YML024W	87278	97425	100460	85521	75492
YML093W	14550	12742	8571	12027	6410
YHR197W	7791	5751	8502	16491	6427
YDR276C	11393	22733	27756	16950	19718
YLR200W	1511	1537	1562	1617	1136
YKR003W	1436	2414	4613	3318	3401
YLR107W	1598	1759	2731	2688	2114
YMR321C	861	2212	1647	578	562
YER175C	506	656	976	922	648
YKL135C	3769	4614	6815	6862	5298
YDL183C	452	486	402	451	233
YPL278C	257	219	0	0	0
YMR118C	489	825	712	637	505
YCL049C	2068	2846	6687	5841	4833
YBL066C	1404	4067	3957	3294	2878
YGL107C	3608	5353	5693	5878	4192
YGR271C-A	5049	2967	3210	4116	2487
YDR169C	840	1495	2264	1899	1643
YLR410W-B	0	0	0	0	0
YMR272C	7689	12179	20343	15106	14260
YPR108W	7002	7793	11261	11292	8368
YKL054C	12724	17717	13480	14068	9284
YGR162W	29904	49055	42483	42569	29752
YDL165W	2048	2841	2621	2529	2082
YDR032C	2400	5543	9811	6784	7198
YKL023W	741	1110	1350	1177	964
YJR051W	3025	3572	4795	4230	3389
YNL009W	108	129	148	178	144
YFL034W	1723	2948	2527	2049	1810
YJR135C	263	376	579	568	448
YGL213C	4637	5637	8063	7868	6267
YMR076C	2930	2739	5105	4845	3311
YGR205W	603	945	1517	1199	1104
YDL095W	38466	44717	43866	43890	31523
YNL027W	1500	1805	2282	2472	1757
YLR291C	6474	9664	10306	9563	7196
YDR210W	2710	3059	3169	3185	2713
YIL122W	733	1040	905	757	609
YDL230W	1531	1219	1272	1094	1021
YJR113C	1309	2294	2925	1634	1871
YGR024C	3521	3648	4151	5539	3225
YIR026C	6287	6345	4820	6667	4010
YIL156W-B	765	1224	1102	858	962
YGR097W	6271	9364	8935	7818	6679
YIL068C	2086	2583	5042	4691	3747
YCL025C	5070	11798	12062	5656	9294
YNR034W	787	1222	1875	1830	1372
YNL282W	649	770	668	789	509
YBR286W	94292	124290	124789	122324	87877
YGL144C	977	1129	1472	1444	1240
YDR190C	8182	8676	10178	10999	7667
YAL031C	852	737	1870	1388	1252
YBL006C	1157	2345	2376	1773	1887
YGR108W	2849	3694	4128	2919	3370
YBR264C	1422	1406	1447	1194	1131
YBR231C	609	801	796	591	448
YLR162W-A	2	3	7	2	7
YBR166C	2371	2539	5226	5158	3647
