ID_REF,G3.2_0ISO_1,G3.2_0ISO_2,G3.2_0ISO_3,G3.2_5ISO_1,G3.2_5ISO_2,G3.2_5ISO_3
2192_419,4.4570,4.3365,4.2414,4.3273,4.3641,4.3150
2193_1515,4.4574,4.1590,4.1853,4.5099,4.2933,4.3894
2194_4334,5.4585,5.4173,5.3439,5.3137,5.3378,5.4321
2195_446,4.6482,4.5625,4.5467,4.4332,4.5115,4.5336
2196_1603,4.5862,4.2409,4.3457,4.5437,4.4072,4.3249
2197_2414,8.0482,7.9509,7.9360,8.3096,8.2545,8.3159
2198_464,7.3648,7.5530,7.4601,7.4762,7.5988,7.5593
2199_3294,5.7125,5.8221,5.6157,5.6155,5.5554,5.5857
219_217,4.6698,4.3250,4.3865,4.5484,4.3752,4.5056
21_4,9.1230,8.9794,9.1015,9.3392,9.2683,9.3334
2201_2190,6.7329,6.8236,6.6673,6.6370,6.6581,6.6139
2202_1064,7.6062,7.7658,7.6073,7.6153,7.7334,7.6984
2203_153,7.3305,7.4984,7.3660,7.5845,7.6071,7.5861
2204_498,7.1734,7.2225,7.2278,8.2013,8.0235,8.0296
2205_91,4.2166,4.0009,4.1011,4.2959,4.1299,4.0849
2206_1005,7.6632,7.7086,7.6519,7.2738,7.3369,7.3725
2207_1066,5.6993,5.6360,5.5717,5.2515,5.3682,5.3306
2208_1327,4.4152,4.2924,4.2170,4.4541,4.3032,4.1559
2209_1197,4.8820,4.6297,4.5719,5.0983,4.7246,4.9401
220_773,5.2879,5.3708,5.2929,5.5444,5.6319,5.5662
2210_757,4.3138,4.3421,4.1665,4.3230,4.1248,4.2330
2211_855,6.6924,6.5823,6.4845,6.6296,6.4317,6.4037
2212_64,6.4053,6.4592,6.3367,6.6303,6.4760,6.4419
2213_579,5.1372,5.4393,5.2369,5.2275,5.2291,5.1280
2214_946,6.2494,6.1944,6.1854,6.1803,6.0602,6.0249
2215_1128,4.4206,4.3914,4.2620,4.3465,4.3751,4.4560
2216_498,4.2968,3.8896,3.9416,4.0607,4.0386,3.9844
2217_1158,8.7028,8.7524,8.6422,8.7511,8.8254,8.7585
2218_25,7.2046,7.0515,7.1432,7.0667,6.8633,6.9353
2219_333,6.8973,7.1463,7.0700,7.1608,7.3158,7.4177
221_112,5.5369,5.7672,5.7599,5.8703,5.8496,5.8752
2220_513,4.5824,5.0140,4.9115,4.6195,4.4764,4.4698
2221_1026,4.1711,4.2602,4.1270,3.8719,4.0406,4.1089
2222_824,4.7132,4.8686,4.6243,4.3591,4.4104,4.3941
2223_1677,5.6938,5.7206,5.6218,5.3306,5.4706,5.3386
2224_711,5.2231,5.3899,5.0334,5.1567,4.9795,4.9305
2225_1324,4.6604,4.7330,4.6330,4.8134,4.6958,4.5629
2226_210,5.4995,5.5283,5.5199,5.5424,5.5061,5.4796
2227_331,5.5393,5.5300,5.4861,5.3655,5.3323,5.3762
2228_172,6.4578,5.8747,5.8812,6.1841,6.1964,6.1426
2229_1311,6.6380,6.6740,6.6235,6.9859,7.0649,7.0419
222_130,5.5909,5.4665,5.5071,5.6889,5.5887,5.5455
2230_765,7.9004,7.7947,7.8145,7.8832,7.8865,7.8662
2231_289,6.8255,6.8599,6.7544,6.9072,6.8196,6.8048
2232_377,6.1012,5.9829,5.9568,6.2489,6.1162,6.1616
2233_1366,7.0713,6.8783,6.9763,7.0853,6.9842,6.9385
2234_864,7.2693,7.2491,7.1574,7.1481,7.1548,7.1507
2235_29,7.3443,7.3395,7.3834,6.3299,6.4201,6.3320
2236_390,7.1295,7.1646,7.1244,6.9620,7.0783,7.0900
2237_715,5.6978,5.4908,5.4708,5.9390,5.7565,5.8478
2238_621,4.1000,4.0462,4.2013,4.1027,4.2495,4.1445
2239_1572,4.0198,4.1618,4.2090,4.2691,4.1371,3.9664
223_400,5.2175,5.6298,5.5332,5.8331,5.6457,5.7524
2240_712,4.7194,4.4537,4.5192,4.7392,4.6099,4.7501
2241_459,5.0318,4.7500,4.6623,4.8881,4.7959,4.8204
2242_436,4.4821,4.6938,4.6576,4.4667,4.6189,4.4460
2243_302,4.3096,4.7110,4.6671,4.2721,4.1857,4.1587
2244_791,5.3253,5.3967,5.2782,5.1183,5.0760,5.1080
2245_1071,7.6601,7.6832,7.6053,7.5389,7.3955,7.4430
2246_1281,8.2944,8.3857,8.2232,8.1369,7.9132,7.8809
2247_1532,8.4983,8.4300,8.4422,8.3748,8.1421,8.1441
2248_14,8.5637,8.6050,8.4339,8.2182,8.0108,7.9609
2249_393,7.6090,7.6064,7.4692,7.2777,7.0672,7.0375
224_84,4.7272,4.5388,4.5971,4.8411,4.7379,4.8155
2250_498,7.2444,7.1738,7.0635,6.7437,6.6476,6.7105
2251_741,8.3479,8.2566,8.1646,7.9419,7.7650,7.7063
2252_2489,7.4239,7.2605,7.2138,7.1091,6.8779,6.8572
2253_1149,8.2652,8.1839,7.9248,7.6112,7.5787,7.4662
2254_339,8.0229,7.8223,7.8297,7.6289,7.4938,7.3564
2255_1743,9.3132,9.4915,9.3449,8.7959,9.0201,8.8984
2256_518,8.5041,8.6140,8.5401,8.0043,8.1613,8.0704
2257_226,9.0639,8.9003,8.8765,8.4778,8.4324,8.3605
2258_894,7.0081,7.0552,7.1638,7.0357,7.2458,7.4354
2259_802,6.4596,6.4408,6.3349,7.2523,7.1038,7.2147
225_88,4.6544,4.8026,4.6628,4.6722,4.4697,4.4491
2260_414,5.9596,6.1311,6.0501,6.2565,6.2038,6.2268
2261_1702,6.2852,6.3172,6.2319,6.0976,6.1414,6.1424
2262_285,7.2151,7.3052,7.2250,6.9215,6.9673,7.0624
2263_320,8.0600,8.1433,8.0072,7.6705,7.6322,7.7433
2264_405,6.8842,7.1656,7.0698,7.1199,7.1628,7.2608
2265_1095,8.5276,8.3513,8.3468,8.1311,8.0412,8.0509
2266_1983,5.9227,5.7335,5.7144,5.8881,5.8901,5.9393
2267_1001,4.7723,4.7282,4.5095,4.5125,4.4074,4.3563
2268_91,7.8662,7.9414,7.8568,7.9831,7.8643,7.9088
2269_323,7.3493,7.1366,7.0844,7.0502,6.8516,6.8394
226_1413,8.3943,8.3499,8.4103,8.7912,8.7546,8.9007
2270_584,6.2497,6.3031,6.0128,5.9961,5.8494,5.8427
2271_400,5.0929,5.0718,5.0419,4.4527,4.6275,4.7554
2272_13,8.4423,8.4743,8.3930,8.4871,8.4328,8.4234
2273_627,6.7433,6.7688,6.6494,6.7789,6.6523,6.6938
2274_745,5.6524,5.6217,5.6675,5.3650,5.5536,5.4840
2275_501,7.8678,8.0227,7.9549,8.0897,7.9717,7.9412
2276_330,5.7195,5.8850,5.8052,5.6693,5.5925,5.6825
2277_389,7.6512,7.5874,7.5190,7.1852,7.1452,7.1352
2278_705,9.4668,9.3099,9.4473,9.5096,9.3824,9.4087
2279_382,7.2172,7.7711,7.6183,6.9213,7.0882,7.0464
227_165,7.2311,7.2280,7.3881,7.6195,7.3183,7.3823
